id,ZT,values,type,code_id,outlier_mean,outlier_IQR,outlier_mad,outlier_any,outlier_all,outlier_all_no_mean,outlier_any_no_mean
1,ZT5,1721533,aged,1-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT13,160000,aged,1-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,ZT19,270899.5,aged,1-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT1,1148100,aged,2-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT5,6211568,aged,2-ZT5-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,ZT13,65503.36,aged,2-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,ZT19,472079.2,aged,2-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT1,1173333,aged,3-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,ZT5,6930381,aged,3-ZT5-aged,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,ZT13,828993.3,aged,3-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3,ZT19,571650.5,aged,3-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT1,1165324,aged,4-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT5,1456667,aged,4-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,ZT13,2330825,aged,4-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
4,ZT19,1025067,aged,4-ZT19-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
5,ZT1,983172.4,aged,5-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT5,1286737,aged,5-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT13,327491.6,aged,5-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,ZT19,297530.3,aged,5-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT13,283754,aged,6-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,ZT19,1236700,aged,6-ZT19-aged,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
7,ZT1,1217842,aged,7-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT5,1690141,aged,7-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,ZT13,2216369,aged,7-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
7,ZT19,522885.8,aged,7-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT1,1395523,aged,8-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT5,1238261,aged,8-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,ZT13,2172055,aged,8-ZT13-aged,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
8,ZT19,228571.4,aged,8-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT1,1488889,aged,9-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT5,1351744,aged,9-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT13,206753.2,aged,9-ZT13-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,ZT19,139459.5,aged,9-ZT19-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT1,1036620,aged,10-ZT1-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,ZT5,1187715,aged,10-ZT5-aged,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
